Size,Type,Sort,TimeMs,CharComparisons
800,Random,std_stable_sort,0.15612,9294
800,Random,string_quick,0.16066,7601
800,Random,merge_lcp,2.19962,6138
800,Random,msd_radix,0.24152,1711
800,Random,msd_radix_quick,0.04504,2933
800,Reverse,std_sort,0.0388,10106
800,Reverse,std_stable_sort,0.05664,5371
800,Reverse,string_quick,0.18364,17846
800,Reverse,merge_lcp,1.96544,2948
800,Reverse,msd_radix,0.3251,1924
800,Reverse,msd_radix_quick,0.26484,13838
800,AlmostSorted,std_sort,0.14254,18486
800,AlmostSorted,std_stable_sort,0.05564,8788
800,AlmostSorted,string_quick,0.11618,12532
800,AlmostSorted,merge_lcp,1.4833,3258
800,AlmostSorted,msd_radix,0.39458,1910
800,AlmostSorted,msd_radix_quick,0.13576,6256
900,Random,std_sort,0.19586,13680
900,Random,std_stable_sort,0.20166,11388
900,Random,string_quick,0.13112,8418
900,Random,merge_lcp,2.06844,7002
900,Random,msd_radix,0.3188,1941
900,Random,msd_radix_quick,0.0575,3472
900,Reverse,std_sort,0.0425,11189
900,Reverse,std_stable_sort,0.05648,6237
900,Reverse,string_quick,0.1698,20569
900,Reverse,merge_lcp,2.08144,3316
900,Reverse,msd_radix,0.37406,2175
900,Reverse,msd_radix_quick,0.1383,15479
900,AlmostSorted,std_sort,0.08026,18078
900,AlmostSorted,std_stable_sort,0.0915,10825
900,AlmostSorted,string_quick,0.1199,15094
900,AlmostSorted,merge_lcp,1.6704,3661
900,AlmostSorted,msd_radix,0.36898,2149
900,AlmostSorted,msd_radix_quick,0.13928,6905
1000,Random,std_sort,0.1401,16237
1000,Random,std_stable_sort,0.15002,12767
1000,Random,string_quick,0.1372,10200
1000,Random,merge_lcp,2.2337,7946
1000,Random,msd_radix,0.34842,2165
1000,Random,msd_radix_quick,0.07548,4022
1000,Reverse,std_sort,0.04628,12273
1000,Reverse,std_stable_sort,0.06864,6908
1000,Reverse,string_quick,0.23134,23841
1000,Reverse,merge_lcp,2.10452,3793
1000,Reverse,msd_radix,0.3692,2415
1000,Reverse,msd_radix_quick,0.1986,17252
1000,AlmostSorted,std_sort,0.12224,22327
1000,AlmostSorted,std_stable_sort,0.1197,11605
1000,AlmostSorted,string_quick,0.14496,18024
1000,AlmostSorted,merge_lcp,1.75562,4039
1000,AlmostSorted,msd_radix,0.45168,2385
1000,AlmostSorted,msd_radix_quick,0.12456,7602
1100,Random,std_sort,0.1533,18015
1100,Random,std_stable_sort,0.21188,14075
1100,Random,string_quick,0.211,10840
1100,Random,merge_lcp,2.38146,8793
1100,Random,msd_radix,0.32342,2396
1100,Random,msd_radix_quick,0.07292,4611
1100,Reverse,std_sort,0.05104,15767
1100,Reverse,std_stable_sort,0.0715,7591
1100,Reverse,string_quick,0.28648,27366
1100,Reverse,merge_lcp,1.98804,4074
1100,Reverse,msd_radix,0.57494,2658
1100,Reverse,msd_radix_quick,0.17146,19079
1100,AlmostSorted,std_sort,0.10392,24101
1100,AlmostSorted,std_stable_sort,0.07246,12681
1100,AlmostSorted,string_quick,0.1634,21182
1100,AlmostSorted,merge_lcp,1.8787,4459
1100,AlmostSorted,msd_radix,0.55356,2622
1100,AlmostSorted,msd_radix_quick,0.10514,8382
1200,Random,std_sort,0.1801,20317
1200,Random,std_stable_sort,0.33042,15540
1200,Random,string_quick,0.20174,12135
1200,Random,merge_lcp,3.00324,9770
1200,Random,msd_radix,0.38836,2643
1200,Random,msd_radix_quick,0.08554,5122
1200,Reverse,std_sort,0.06062,17080
1200,Reverse,std_stable_sort,0.0947,8373
1200,Reverse,string_quick,0.25242,31810
1200,Reverse,merge_lcp,2.36866,4453
1200,Reverse,msd_radix,0.56592,2896
1200,Reverse,msd_radix_quick,0.18706,20567
1200,AlmostSorted,std_sort,0.16096,30537
1200,AlmostSorted,std_stable_sort,0.08656,13709
1200,AlmostSorted,string_quick,0.22752,24718
1200,AlmostSorted,merge_lcp,2.25078,4984
1200,AlmostSorted,msd_radix,0.45654,2861
1200,AlmostSorted,msd_radix_quick,0.1255,9275
1300,Random,std_sort,0.20122,21890
1300,Random,std_stable_sort,0.25536,16886
1300,Random,string_quick,0.30706,14421
1300,Random,merge_lcp,2.90174,10687
1300,Random,msd_radix,0.47736,2892
1300,Random,msd_radix_quick,0.10968,5739
1300,Reverse,std_sort,0.12918,18232
1300,Reverse,std_stable_sort,0.0837,9184
1300,Reverse,string_quick,0.29708,34936
1300,Reverse,merge_lcp,2.86094,4804
1300,Reverse,msd_radix,0.48144,3143
1300,Reverse,msd_radix_quick,0.1991,22263
1300,AlmostSorted,std_sort,0.20966,33441
1300,AlmostSorted,std_stable_sort,0.08434,14908
1300,AlmostSorted,string_quick,0.18346,23136
1300,AlmostSorted,merge_lcp,2.3883,5584
1300,AlmostSorted,msd_radix,0.52382,3113
1300,AlmostSorted,msd_radix_quick,0.10466,10038
1400,Random,std_sort,0.20812,24760
1400,Random,std_stable_sort,0.23504,18616
1400,Random,string_quick,0.29244,13776
1400,Random,merge_lcp,2.61656,11694
1400,Random,msd_radix,0.54066,3140
1400,Random,msd_radix_quick,0.18576,6299
1400,Reverse,std_sort,0.14242,19405
1400,Reverse,std_stable_sort,0.12752,9959
1400,Reverse,string_quick,0.41452,39324
1400,Reverse,merge_lcp,3.25028,5062
1400,Reverse,msd_radix,0.61094,3385
1400,Reverse,msd_radix_quick,0.23242,23857
1400,AlmostSorted,std_sort,0.20518,35313
1400,AlmostSorted,std_stable_sort,0.24036,16499
1400,AlmostSorted,string_quick,0.25832,24907
1400,AlmostSorted,merge_lcp,2.69604,5841
1400,AlmostSorted,msd_radix,0.98152,3346
1400,AlmostSorted,msd_radix_quick,0.14594,10718
1500,Random,std_sort,0.4446,27818
1500,Random,std_stable_sort,0.27818,20052
1500,Random,string_quick,0.22458,16032
1500,Random,merge_lcp,3.96676,12658
1500,Random,msd_radix,0.50908,3379
1500,Random,msd_radix_quick,0.11716,6902
1500,Reverse,std_sort,0.0677,20620
1500,Reverse,std_stable_sort,0.08582,10784
1500,Reverse,string_quick,0.39396,44622
1500,Reverse,merge_lcp,4.34602,5537
1500,Reverse,msd_radix,0.76124,3616
1500,Reverse,msd_radix_quick,0.30066,25398
1500,AlmostSorted,std_sort,0.21652,39498
1500,AlmostSorted,std_stable_sort,0.09784,17498
1500,AlmostSorted,string_quick,0.22694,26129
1500,AlmostSorted,merge_lcp,2.927,6306
1500,AlmostSorted,msd_radix,0.58354,3582
1500,AlmostSorted,msd_radix_quick,0.12358,11450
1600,Random,std_sort,0.26202,28679
1600,Random,std_stable_sort,0.26302,21648
1600,Random,string_quick,0.2514,17967
1600,Random,merge_lcp,3.3688,13632
1600,Random,msd_radix,0.51336,3636
1600,Random,msd_radix_quick,0.21454,7560
1600,Reverse,std_sort,0.16906,21818
1600,Reverse,std_stable_sort,0.10604,11560
1600,Reverse,string_quick,0.3826,49811
1600,Reverse,merge_lcp,2.98972,5901
1600,Reverse,msd_radix,0.5574,3860
1600,Reverse,msd_radix_quick,0.22928,27259
1600,AlmostSorted,std_sort,0.14914,36967
1600,AlmostSorted,std_stable_sort,0.1013,18960
1600,AlmostSorted,string_quick,0.21054,29240
1600,AlmostSorted,merge_lcp,2.59094,6826
1600,AlmostSorted,msd_radix,0.51308,3818
1600,AlmostSorted,msd_radix_quick,0.1247,12121
1700,Random,std_sort,0.23984,30434
1700,Random,std_stable_sort,0.24716,23354
1700,Random,string_quick,0.3587,19325
1700,Random,merge_lcp,3.71818,14524
1700,Random,msd_radix,0.49544,3881
1700,Random,msd_radix_quick,0.12726,8293
1700,Reverse,std_sort,0.07124,23022
1700,Reverse,std_stable_sort,0.09304,12522
1700,Reverse,string_quick,0.40894,55081
1700,Reverse,merge_lcp,3.52028,6268
1700,Reverse,msd_radix,0.69544,4101
1700,Reverse,msd_radix_quick,0.2534,29075
1700,AlmostSorted,std_sort,0.2052,41458
1700,AlmostSorted,std_stable_sort,0.17496,20363
1700,AlmostSorted,string_quick,0.3218,31843
1700,AlmostSorted,merge_lcp,3.2123,7226
1700,AlmostSorted,msd_radix,0.58862,4063
1700,AlmostSorted,msd_radix_quick,0.15516,12758
1800,Random,std_sort,0.30962,33624
1800,Random,std_stable_sort,0.36438,26355
1800,Random,string_quick,0.2636,18745
