bin,count
798,269
799,273
800,242
801,253
802,285
803,270
804,285
805,262
806,278
807,288
808,269
809,275
810,284
811,255
812,279
813,257
814,293
815,272
816,279
817,278
818,444
819,265
820,281
821,274
822,455
823,283
824,329
825,257
826,251
827,301
828,278
829,277
830,317
831,283
832,312
833,257
834,296
835,315
836,261
837,279
838,272
839,249
840,279
841,284
842,291
843,284
844,260
845,264
846,278
847,315
848,279
849,263
850,309
851,295
852,273
853,291
854,278
855,304
856,305
857,264
858,285
859,282
860,316
861,303
862,284
863,275
864,276
865,285
866,279
867,259
868,284
869,279
870,305
871,299
872,303
873,298
874,283
875,264
876,295
877,282
878,285
879,284
880,311
881,311
882,300
883,264
884,442
885,291
886,456
887,268
888,298
889,253
890,279
891,294
892,282
893,312
894,306
895,295
896,318
897,290
898,294
899,269
900,310
901,292
902,277
903,269
904,264
905,446
906,271
907,288
908,334
909,286
910,293
911,280
912,262
913,285
914,299
915,302
916,278
917,308
918,311
919,309
920,290
921,269
922,294
923,292
924,275
925,251
926,248
927,326
928,260
929,278
930,282
931,418
932,314
933,420
934,292
935,333
936,272
937,290
938,287
939,315
940,291
941,445
942,285
943,262
944,429
945,298
946,290
947,295
948,282
949,262
950,297
951,293
952,276
953,422
954,257
955,290
956,282
957,274
958,297
959,277
960,285
961,257
962,291
963,283
964,256
965,310
966,291
967,312
968,287
969,271
970,260
971,275
972,305
973,290
974,289
975,267
976,260
977,244
978,308
979,283
980,279
981,253
982,284
983,251
984,282
985,315
986,266
987,314
988,284
989,268
990,263
991,287
992,286
993,264
994,269
995,289
996,254
997,262
998,273
999,297
1000,308
1001,282
1002,315
1003,293
1004,309
1005,299
1006,299
1007,310
1008,259
1009,297
1010,264
1011,299
1012,415
1013,300
1014,261
1015,280
1016,296
1017,288
1018,275
1019,306
1020,285
1021,295
1022,294
1023,270
